,timestamp,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining
0,2014-12-31,5.0,5.0,0.0,1.0,0.0,0.0,3.0
1,2015-01-01,51.0,25.0,18.0,0.0,3.0,3.0,3.0
2,2015-01-02,30.0,14.0,8.0,3.0,0.0,2.0,1.0
3,2015-01-03,45.0,42.0,12.0,1.0,2.0,4.0,4.0
4,2015-01-04,12.0,23.0,9.0,2.0,0.0,1.0,4.0
5,2015-01-05,85.0,42.0,26.0,2.0,0.0,13.0,1.0
6,2015-01-06,64.0,47.0,26.0,15.0,1.0,9.0,4.0
7,2015-01-07,113.0,41.0,31.0,14.0,5.0,3.0,6.0
8,2015-01-08,148.0,93.0,37.0,5.0,5.0,8.0,4.0
9,2015-01-09,25.0,28.0,14.0,3.0,2.0,3.0,2.0
10,2015-01-10,10.0,21.0,8.0,2.0,2.0,2.0,2.0
11,2015-01-11,51.0,27.0,18.0,2.0,2.0,6.0,5.0
12,2015-01-12,26.0,28.0,13.0,9.0,2.0,3.0,2.0
13,2015-01-13,39.0,77.0,10.0,4.0,4.0,3.0,2.0
14,2015-01-14,84.0,71.0,20.0,31.0,4.0,4.0,6.0
15,2015-01-15,31.0,34.0,10.0,5.0,5.0,4.0,2.0
16,2015-01-16,83.0,29.0,30.0,7.0,3.0,8.0,8.0
17,2015-01-17,58.0,21.0,22.0,8.0,2.0,1.0,8.0
18,2015-01-18,23.0,40.0,10.0,1.0,13.0,3.0,2.0
19,2015-01-19,26.0,18.0,9.0,5.0,1.0,0.0,1.0
20,2015-01-20,47.0,30.0,19.0,4.0,2.0,2.0,8.0
21,2015-01-21,57.0,49.0,13.0,2.0,4.0,1.0,2.0
22,2015-01-22,104.0,63.0,29.0,44.0,2.0,8.0,22.0
23,2015-01-23,96.0,48.0,32.0,14.0,5.0,2.0,4.0
24,2015-01-24,22.0,30.0,14.0,3.0,1.0,3.0,3.0
25,2015-01-25,19.0,14.0,3.0,0.0,2.0,1.0,2.0
26,2015-01-26,40.0,32.0,16.0,0.0,0.0,2.0,6.0
27,2015-01-27,76.0,39.0,17.0,2.0,3.0,1.0,1.0
28,2015-01-28,163.0,144.0,61.0,13.0,13.0,17.0,5.0
29,2015-01-29,76.0,78.0,35.0,12.0,5.0,7.0,2.0
30,2015-01-30,162.0,80.0,29.0,6.0,7.0,10.0,5.0
31,2015-01-31,32.0,27.0,12.0,5.0,4.0,2.0,2.0
32,2015-02-01,10.0,10.0,6.0,1.0,1.0,1.0,1.0
33,2015-02-02,24.0,25.0,14.0,1.0,3.0,0.0,1.0
34,2015-02-03,42.0,31.0,17.0,19.0,1.0,3.0,2.0
35,2015-02-04,27.0,30.0,17.0,32.0,1.0,7.0,2.0
36,2015-02-05,57.0,34.0,14.0,3.0,1.0,1.0,5.0
37,2015-02-06,34.0,36.0,15.0,14.0,2.0,3.0,4.0
