"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","27,587.5","27,535.0","27,610.0","27,400.0","36.17K","0.19%"
"03/01/2023","27,535.0","27,445.0","27,560.0","27,300.0","32.28K","0.33%"
"02/28/2023","27,445.0","27,420.0","27,585.0","27,400.0","29.00K","0.07%"
"02/27/2023","27,425.0","27,400.0","27,465.0","27,270.0","32.22K","0.33%"
"02/26/2023","27,335.0","27,350.0","27,360.0","27,307.5","","-0.16%"
"02/24/2023","27,380.0","27,130.0","27,450.0","27,005.0","44.33K","0.89%"
"02/23/2023","27,137.5","27,100.0","27,240.0","27,002.5","20.60K","0.06%"
"02/22/2023","27,120.0","27,445.0","27,465.0","27,020.0","42.48K","-0.49%"
"02/21/2023","27,253.0","27,475.0","27,518.0","27,208.0","22.68K","-0.95%"
"02/20/2023","27,515.0","27,455.0","27,525.0","27,380.0","25.55K","0.24%"
"02/17/2023","27,450.0","27,655.0","27,680.0","27,435.0","38.20K","0.03%"
"02/16/2023","27,442.5","27,610.0","27,723.0","27,437.5","31.79K","-0.64%"
"02/15/2023","27,620.0","27,675.0","27,700.0","27,425.0","46.34K","-0.25%"
"02/14/2023","27,688.0","27,685.0","27,768.0","27,517.5","35.47K","0.00%"
"02/13/2023","27,687.5","27,518.0","27,718.0","27,242.5","57.89K","0.19%"
"02/10/2023","27,635.0","27,615.0","27,790.0","27,495.0","53.36K","0.20%"
"02/09/2023","27,580.0","27,575.0","27,615.0","27,360.0","36.63K","0.59%"
"02/08/2023","27,417.5","27,613.0","27,643.0","27,362.5","51.66K","-0.68%"
"02/07/2023","27,605.0","27,725.0","27,788.0","27,353.0","36.51K","-0.42%"
"02/06/2023","27,722.5","27,767.5","27,808.0","27,527.5","59.03K","0.86%"
"02/03/2023","27,485.0","27,380.0","27,600.0","27,355.0","49.60K","0.08%"
"02/02/2023","27,463.0","27,448.0","27,580.0","27,317.5","42.90K","-0.04%"
"02/01/2023","27,475.0","27,483.0","27,520.0","27,143.0","41.26K","0.57%"
"01/31/2023","27,320.0","27,365.0","27,570.0","27,280.0","42.85K","-0.42%"
"01/30/2023","27,435.0","27,375.0","27,573.0","27,285.0","39.44K","0.20%"
"01/27/2023","27,380.0","27,365.0","27,515.0","27,300.0","34.65K","-0.05%"
"01/26/2023","27,395.0","27,428.0","27,518.0","27,257.5","38.55K","-0.06%"
"01/25/2023","27,412.5","27,178.0","27,452.5","27,152.5","44.32K","0.95%"
"01/24/2023","27,155.0","27,158.0","27,363.0","27,077.5","41.96K","-0.07%"
"01/23/2023","27,175.0","26,880.0","27,215.0","26,763.0","38.65K","2.41%"
"01/20/2023","26,535.0","26,330.0","26,545.0","26,225.0","37.86K","0.88%"
"01/19/2023","26,303.0","26,510.0","26,565.0","26,235.0","53.09K","-0.76%"
"01/18/2023","26,505.0","26,215.0","26,890.0","26,185.0","65.32K","1.03%"
