"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","9.35","9.38","9.38","9.35","1.26M","0.54%"
"03/01/2023","9.30","8.89","9.37","8.86","21.96M","1.97%"
"02/28/2023","9.12","8.91","9.16","8.48","23.04M","1.79%"
"02/27/2023","8.96","8.90","9.04","8.62","30.69M","5.54%"
"02/24/2023","8.49","8.32","8.52","8.12","28.60M","5.20%"
"02/23/2023","8.07","7.91","8.20","7.66","33.41M","6.46%"
"02/22/2023","7.58","7.48","7.99","7.41","36.87M","5.13%"
"02/21/2023","7.21","7.40","7.46","7.14","40.95M","-7.09%"
"02/17/2023","7.76","7.86","7.92","7.60","39.47M","-6.05%"
"02/16/2023","8.26","8.53","8.54","8.11","24.28M","-1.90%"
"02/15/2023","8.42","8.59","8.77","8.36","20.02M","-4.86%"
"02/14/2023","8.85","8.59","8.90","8.55","21.61M","6.24%"
"02/13/2023","8.33","8.39","8.62","8.14","30.15M","-5.23%"
"02/10/2023","8.79","8.39","8.81","8.33","22.34M","5.27%"
"02/09/2023","8.35","8.28","8.63","8.17","21.83M","1.46%"
"02/08/2023","8.23","8.65","8.74","8.09","28.54M","-7.22%"
"02/07/2023","8.87","8.51","8.92","8.49","25.82M","4.35%"
"02/06/2023","8.50","8.26","8.52","8.08","20.58M","3.79%"
"02/03/2023","8.19","8.29","8.34","8.00","33.45M","-2.27%"
"02/02/2023","8.38","8.62","8.86","8.30","26.50M","-1.41%"
"02/01/2023","8.50","8.91","9.00","8.41","48.03M","-8.80%"
"01/31/2023","9.32","9.03","9.39","8.98","27.23M","2.19%"
"01/30/2023","9.12","9.31","9.46","9.09","26.85M","-7.03%"
"01/27/2023","9.81","9.71","9.92","9.45","18.94M","1.98%"
"01/26/2023","9.62","9.31","9.78","9.15","36.66M","-1.94%"
"01/25/2023","9.81","10.15","10.26","9.81","20.20M","-6.48%"
"01/24/2023","10.49","10.77","10.87","10.36","10.16M","-4.72%"
"01/23/2023","11.01","10.59","11.06","10.21","20.29M","7.31%"
"01/20/2023","10.26","10.69","10.87","10.18","15.20M","-2.38%"
"01/19/2023","10.51","10.71","10.85","10.47","12.61M","-1.04%"
"01/18/2023","10.62","10.83","11.08","10.58","18.41M","-8.05%"
"01/17/2023","11.55","11.62","11.79","11.25","16.77M","4.71%"
"01/13/2023","11.03","11.29","11.55","10.77","14.35M","-6.21%"
"01/12/2023","11.76","12.46","12.55","11.68","11.28M","0.34%"
"01/11/2023","11.72","11.59","11.79","10.89","20.98M","2.54%"
"01/10/2023","11.43","11.69","11.85","11.29","14.89M","-8.05%"
"01/09/2023","12.43","12.32","13.13","12.25","12.43M","4.54%"
"01/06/2023","11.89","11.86","12.20","11.67","13.35M","-0.59%"
"01/05/2023","11.96","12.18","12.29","11.62","17.84M","-9.60%"
"01/04/2023","13.23","12.98","13.41","12.73","6.18M","3.52%"
"01/03/2023","12.78","12.81","13.08","12.40","10.02M","-9.36%"
"12/30/2022","14.10","14.05","14.44","13.92","8.25M","-3.03%"
"12/29/2022","14.54","14.42","14.62","14.06","7.73M","-3.39%"
"12/28/2022","15.05","14.81","15.12","14.19","9.42M","-6.64%"
"12/27/2022","16.12","16.10","16.37","15.88","6.98M","1.32%"
"12/23/2022","15.91","15.35","16.32","15.33","8.25M","0.63%"
