"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","20.702","20.977","21.017","20.676","","-1.40%"
"03/01/2023","20.996","20.915","21.188","20.820","","0.40%"
"02/28/2023","20.912","20.626","21.016","20.414","","1.40%"
"02/27/2023","20.624","20.796","20.852","20.550","","-0.69%"
"02/24/2023","20.769","21.323","21.414","20.728","","-2.46%"
"02/23/2023","21.292","21.505","21.692","21.252","","-0.98%"
"02/22/2023","21.502","21.829","21.995","21.433","","-1.49%"
"02/21/2023","21.827","21.778","21.992","21.632","","0.41%"
"02/20/2023","21.739","21.670","21.927","21.543","","0.06%"
"02/17/2023","21.726","21.600","21.822","21.160","","0.58%"
"02/16/2023","21.600","21.640","21.825","21.424","","-0.12%"
"02/15/2023","21.626","21.859","21.893","21.416","","-0.98%"
"02/14/2023","21.840","21.972","22.056","21.595","","-0.59%"
"02/13/2023","21.970","22.003","22.100","21.785","","-0.10%"
"02/10/2023","21.993","21.978","22.316","21.823","","0.08%"
"02/09/2023","21.976","22.311","22.605","21.905","","-1.49%"
"02/08/2023","22.309","22.190","22.553","22.129","","0.55%"
"02/07/2023","22.188","22.266","22.480","22.041","","-0.35%"
"02/06/2023","22.265","22.337","22.629","22.134","","-0.38%"
"02/03/2023","22.350","23.472","23.615","22.276","","-4.75%"
"02/02/2023","23.463","23.983","24.647","23.413","","-2.15%"
"02/01/2023","23.979","23.725","24.047","23.354","","1.18%"
"01/31/2023","23.699","23.592","23.795","22.964","","0.46%"
"01/30/2023","23.590","23.595","23.827","23.528","","0.11%"
"01/27/2023","23.564","23.917","24.045","23.290","","-1.38%"
"01/26/2023","23.893","23.904","24.317","23.586","","-0.03%"
"01/25/2023","23.900","23.669","23.960","23.323","","0.98%"
"01/24/2023","23.667","23.454","23.785","23.200","","0.92%"
"01/23/2023","23.451","23.962","24.185","22.750","","-2.07%"
"01/20/2023","23.948","23.832","24.093","23.701","","0.50%"
"01/19/2023","23.828","23.452","23.956","23.154","","1.72%"
"01/18/2023","23.426","23.922","24.361","23.413","","-2.06%"
"01/17/2023","23.919","24.405","24.480","23.821","","-1.97%"
"01/16/2023","24.399","24.305","24.555","23.925","","0.62%"
"01/13/2023","24.250","23.780","24.317","23.480","","2.00%"
"01/12/2023","23.775","23.421","24.201","23.321","","1.52%"
"01/11/2023","23.419","23.611","24.075","23.200","","-0.80%"
"01/10/2023","23.608","23.630","23.805","23.415","","-0.08%"
"01/09/2023","23.627","23.861","24.125","23.575","","-0.78%"
"01/06/2023","23.813","23.245","23.935","23.195","","2.57%"
"01/05/2023","23.216","23.760","23.923","23.110","","-2.19%"
"01/04/2023","23.736","24.005","24.485","23.585","","-1.03%"
"01/03/2023","23.983","24.064","24.575","23.878","","-0.03%"
"01/02/2023","23.990","23.970","24.015","23.965","","0.10%"
"12/30/2022","23.965","23.892","24.175","23.515","","0.39%"
"12/29/2022","23.872","23.529","24.074","23.506","","1.56%"
"12/28/2022","23.504","24.046","24.122","23.452","","-2.25%"
"12/27/2022","24.044","23.839","24.300","23.773","","0.80%"
"12/26/2022","23.854","23.910","23.964","23.836","","0.65%"
"12/23/2022","23.700","23.552","23.911","23.499","","0.56%"
"12/22/2022","23.567","23.971","24.109","23.360","","-1.67%"
"12/21/2022","23.968","24.168","24.335","23.813","","-0.82%"
"12/20/2022","24.165","22.967","24.275","22.866","","5.31%"
"12/19/2022","22.945","23.230","23.435","22.820","","-1.14%"
"12/16/2022","23.211","23.073","23.260","22.539","","0.70%"
"12/15/2022","23.049","23.919","24.003","22.955","","-3.55%"
"12/14/2022","23.897","23.731","24.062","23.362","","0.71%"
"12/13/2022","23.727","23.302","24.155","23.282","","1.84%"
"12/12/2022","23.300","23.460","23.551","23.097","","-0.72%"
"12/09/2022","23.468","23.068","23.699","22.941","","1.73%"
"12/08/2022","23.069","22.727","23.236","22.532","","1.51%"
"12/07/2022","22.725","22.192","22.855","22.075","","2.53%"
"12/06/2022","22.164","22.262","22.635","22.015","","-0.39%"
"12/05/2022","22.250","23.117","23.545","22.148","","-3.79%"
"12/02/2022","23.126","22.768","23.265","22.266","","1.59%"
"12/01/2022","22.765","22.198","22.807","22.029","","2.57%"
"11/30/2022","22.195","21.260","22.214","21.183","","4.41%"
"11/29/2022","21.258","20.934","21.468","20.873","","1.63%"
"11/28/2022","20.917","21.405","21.645","20.852","","-3.11%"
"11/25/2022","21.590","21.506","21.622","21.143","","0.37%"
"11/24/2022","21.510","21.535","21.705","21.441","","-0.02%"
"11/23/2022","21.514","21.082","21.615","20.898","","3.23%"
"11/22/2022","20.842","20.844","21.365","20.817","","0.00%"
"11/21/2022","20.841","20.953","21.025","20.568","","-0.35%"
"11/18/2022","20.915","20.948","21.325","20.828","","-0.17%"
"11/17/2022","20.950","21.478","21.522","20.742","","-2.45%"
"11/16/2022","21.475","21.565","22.068","21.385","","-0.29%"
"11/15/2022","21.537","21.986","22.285","21.375","","-1.95%"
"11/14/2022","21.965","21.700","22.115","21.285","","1.31%"
"11/11/2022","21.681","21.680","22.075","21.274","","0.10%"
"11/10/2022","21.660","21.040","21.845","20.947","","3.11%"
"11/09/2022","21.007","21.365","21.625","20.985","","-1.56%"
"11/08/2022","21.341","20.810","21.665","20.485","","2.72%"
"11/07/2022","20.775","20.490","21.025","20.380","","-0.29%"
"11/04/2022","20.836","19.470","20.935","19.405","","7.07%"
"11/03/2022","19.460","19.230","19.575","18.820","","0.93%"
"11/02/2022","19.280","19.625","20.115","19.200","","-1.88%"
"11/01/2022","19.650","19.166","20.040","19.120","","2.66%"
"10/31/2022","19.140","19.240","19.267","18.898","","-0.45%"
"10/28/2022","19.226","19.605","19.685","18.999","","-1.82%"
"10/27/2022","19.583","19.590","19.705","19.280","","-0.19%"
"10/26/2022","19.620","19.345","19.825","19.205","","1.45%"
"10/25/2022","19.340","19.240","19.475","18.780","","0.42%"
"10/24/2022","19.260","19.427","19.680","19.013","","-0.72%"
"10/21/2022","19.400","18.735","19.430","18.275","","3.97%"
"10/20/2022","18.660","18.515","19.045","18.215","","1.19%"
"10/19/2022","18.440","18.745","18.825","18.360","","-1.71%"
"10/18/2022","18.760","18.700","18.985","18.539","","0.43%"
"10/17/2022","18.680","18.230","18.965","18.230","","2.32%"
"10/14/2022","18.257","18.880","19.085","18.080","","-3.24%"
"10/13/2022","18.868","19.050","19.345","18.455","","-1.01%"
"10/12/2022","19.060","19.175","19.320","18.859","","-0.68%"
"10/11/2022","19.190","19.620","19.735","19.060","","-2.34%"
"10/10/2022","19.650","20.180","20.192","19.500","","-2.29%"
"10/07/2022","20.110","20.666","20.835","19.994","","-2.62%"
"10/06/2022","20.650","20.690","20.880","20.358","","-0.24%"
"10/05/2022","20.700","21.057","21.080","19.940","","-1.94%"
"10/04/2022","21.110","20.685","21.255","20.600","","1.71%"
"10/03/2022","20.755","19.020","20.782","19.000","","9.24%"
"09/30/2022","19.000","18.822","19.305","18.770","","0.98%"
"09/29/2022","18.815","18.905","18.918","18.480","","-0.40%"
"09/28/2022","18.890","18.401","18.985","17.960","","2.50%"
"09/27/2022","18.430","18.330","18.797","18.315","","0.52%"
"09/26/2022","18.335","18.890","19.040","18.320","","-2.67%"
"09/23/2022","18.839","19.635","19.720","18.765","","-4.13%"
"09/22/2022","19.650","19.586","19.875","19.240","","0.31%"
"09/21/2022","19.590","19.275","19.925","19.235","","1.45%"
"09/20/2022","19.310","19.570","19.615","19.053","","-1.53%"
"09/19/2022","19.610","19.550","19.661","19.220","","0.26%"
"09/16/2022","19.560","19.165","19.665","18.780","","2.09%"
"09/15/2022","19.160","19.620","19.670","19.105","","-2.69%"
"09/14/2022","19.690","19.340","19.722","19.230","","1.92%"
"09/13/2022","19.320","19.820","19.975","19.320","","-2.33%"
"09/12/2022","19.780","18.860","20.027","18.840","","5.33%"
"09/09/2022","18.778","18.640","18.975","18.515","","1.12%"
"09/08/2022","18.570","18.456","18.755","18.314","","0.32%"
"09/07/2022","18.510","18.020","18.540","17.840","","2.53%"
"09/06/2022","18.053","18.150","18.595","17.939","","-0.60%"
"09/05/2022","18.162","18.055","18.277","17.940","","0.77%"
"09/02/2022","18.022","17.810","18.305","17.775","","0.96%"
"09/01/2022","17.850","17.975","18.007","17.555","","-0.67%"
"08/31/2022","17.970","18.415","18.565","17.920","","-2.81%"
"08/30/2022","18.490","18.789","18.865","18.340","","-1.39%"
"08/29/2022","18.750","18.881","18.925","18.512","","-0.69%"
